0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:20:11 -0500] "GET /proyectoLP_2023/img/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:22:21 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:22:21 -0500] "GET /proyectoLP_2023/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:22:21 -0500] "GET /proyectoLP_2023/script/test.js HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:22:21 -0500] "GET /proyectoLP_2023/img/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:26:50 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2991
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:26:50 -0500] "GET /proyectoLP_2023/css/style.css HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:26:50 -0500] "GET /proyectoLP_2023/script/test.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:26:50 -0500] "GET /proyectoLP_2023/img/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:33:09 -0500] "GET /proyectoLP_2023/css/style.css HTTP/1.1" 304 -
